id,labels
1,0
2,5
3,2
4,0
5,1
6,4
7,3
8,2
9,0
10,0
11,1
12,2
13,13
14,3
15,2
16,0
17,0
18,2
19,0
20,4
21,5
22,3
23,0
24,1
25,0
26,0
27,5
28,2
29,1
30,0
31,7
32,2
33,0
34,2
35,0
36,6
37,9
38,0
39,14
40,4
41,3
42,0
43,0
44,1
45,9
46,12
47,14
48,4
49,3
50,0
51,7
52,14
53,0
54,3
55,0
56,1
57,8
58,4
59,6
60,13
61,0
62,0
63,1
64,7
65,7
66,9
67,12
68,0
69,3
70,0
71,3
72,0
73,1
74,4
75,2
76,0
77,6
78,4
79,9
80,0
81,0
82,3
83,0
84,19
85,2
86,0
87,1
88,10
89,2
90,0
91,0
92,12
93,3
94,0
95,6
96,1
97,2
98,3
99,0
100,14
101,0
102,14
103,2
104,0
105,1
106,13
107,0
108,1
109,10
110,0
111,5
112,1
113,9
114,1
115,7
116,4
117,9
118,3
119,0
120,1
121,1
122,6
123,0
124,1
125,10
126,3
127,0
128,3
129,0
130,2
131,1
132,2
133,0
134,0
135,0
136,19
137,3
138,0
139,4
140,6
141,0
142,14
143,4
144,2
145,0
146,1
147,2
148,5
149,7
150,2
151,0
152,1
153,3
154,0
155,2
156,0
157,8
158,7
159,8
160,6
161,11
162,0
163,0
164,1
165,5
166,0
167,1
168,2
169,0
170,3
171,11
172,0
173,3
174,0
175,6
176,0
177,2
178,0
179,3
180,0
181,0
182,1
183,8
184,6
185,3
186,0
187,1
188,3
189,0
190,1
191,21
192,3
193,2
194,2
195,1
196,2
197,0
198,1
199,6
200,1
201,3
202,2
203,0
204,1
205,8
206,3
207,2
208,2
209,8
210,8
211,5
212,16
213,2
214,2
215,1
216,2
217,0
218,1
219,1
220,1
221,3
222,0
223,6
224,8
225,11
226,7
227,0
228,1
229,6
230,0
231,7
232,0
233,6
234,4
235,9
236,3
237,2
238,0
239,7
240,0
241,3
242,0
243,1
244,3
245,0
246,16
247,4
248,8
249,6
250,1
251,7
252,3
253,0
254,4
255,8
256,1
257,0
258,4
259,4
260,0
261,13
262,1
263,13
264,3
265,2
266,0
267,5
268,1
269,0
270,4
271,0
272,2
273,5
274,1
275,0
276,1
277,7
278,12
279,0
280,5
281,3
282,2
283,0
284,1
285,7
286,3
287,0
288,1
289,4
290,8
291,1
292,3
293,2
294,4
295,3
296,11
297,0
298,4
299,8
300,1
301,3
302,0
303,1
304,0
305,1
306,2
307,1
308,2
309,0
310,1
311,0
312,19
313,1
314,1
315,0
316,0
317,3
318,0
319,5
320,7
321,4
322,4
323,0
324,3
325,0
326,5
327,1
328,5
329,0
330,3
331,2
332,0
333,1
334,13
335,3
336,0
337,2
338,1
339,15
340,1
341,2
342,1
343,2
344,1
345,0
346,2
347,0
348,2
349,7
350,2
351,0
352,2
353,13
354,3
355,0
356,0
357,0
358,13
359,3
360,15
361,1
362,2
363,15
364,2
365,5
366,2
367,0
368,3
369,0
370,0
371,0
372,1
373,3
374,2
375,6
376,13
377,1
378,2
379,1
380,3
381,0
382,14
383,0
384,0
385,0
386,2
387,1
388,3
389,2
390,0
391,3
392,15
393,1
394,2
395,1
396,3
397,0
398,0
399,0
400,19
401,5
402,4
403,3
404,0
405,4
406,2
407,7
408,3
409,0
410,0
411,0
412,1
413,3
414,2
415,24
416,2
417,0
418,0
419,2
420,1
421,2
422,1
423,0
424,0
425,2
426,13
427,3
428,0
429,13
430,3
431,15
432,1
433,2
434,5
435,9
436,13
437,3
438,2
439,0
440,3
441,0
442,13
443,3
444,0
445,1
446,2
447,1
448,2
449,7
450,2
451,0
452,0
453,2
454,1
455,13
456,3
457,0
458,0
459,0
460,13
461,3
462,15
463,1
464,2
465,1
466,13
467,8
468,3
469,15
470,1
471,2
472,3
473,0
474,2
475,1
476,5
477,2
478,0
479,3
480,0
481,0
482,0
483,1
484,3
485,2
486,6
487,13
488,1
489,2
490,0
491,0
492,4
493,6
494,2
495,3
496,0
497,3
498,2
499,0
500,7
501,3
502,11
503,0
504,1
505,8
506,8
507,2
508,0
509,1
510,4
511,6
512,13
513,3
514,0
515,0
516,0
517,1
518,3
519,10
520,3
521,0
522,7
523,0
524,8
525,2
526,6
527,0
528,2
529,1
530,3
531,0
532,2
533,2
534,6
535,4
536,0
537,2
538,1
539,0
540,0
541,6
542,4
543,3
544,0
545,0
546,1
547,3
548,0
549,2
550,1
551,7
552,0
553,1
554,0
555,7
556,2
557,1
558,0
